no,short_code,question_en,question_kh,description,unit_en,unit_kh,group_en,group_kh,validate_rule
8.a,M12_14_go_prime,12-14,12-14,# Boys 12-14 ys who go to PRIMARY school,People,នាក់,Male & Education,ស្ថិតិមនុស្សប្រុសនិងការអប់រំ,
8.b,M12_14_go_second,12-14,12-14,# Boys 12-14 ys who go to LOWER SECONDARY school,People,នាក់,Male & Education,ស្ថិតិមនុស្សប្រុសនិងការអប់រំ,
9,MAL_15_17,15-17,15-17 ឆ្នាំ,# Boys 15-17 years old,People,នាក់,Male & Education,ស្ថិតិមនុស្សប្រុសនិងការអប់រំ,
9.a,M15_17_go_prime,15-17,15-17,# Boys 15-17 ys who go to PRIMARY school,People,នាក់,Male & Education,ស្ថិតិមនុស្សប្រុសនិងការអប់រំ,
9.b,M15_17SCH_second,15-17,15-17,# Boys 15-17 ys who go to UPPER SECONDARY school,People,នាក់,Male & Education,ស្ថិតិមនុស្សប្រុសនិងការអប់រំ,
9.c,M15_17SCH_high,15-17,15-17,# Boys 15-17 ys who go to High School,People,នាក់,Male & Education,ស្ថិតិមនុស្សប្រុសនិងការអប់រំ,
9.d,M_ILT15_17,15-17,15-17,# illiterate men from 15-17ys,People,នាក់,Male & Education,ស្ថិតិមនុស្សប្រុសនិងការអប់រំ,
10,MAL_18_24,18-24,18-24 ឆ្នាំ,# Boys 18-24 years old,People,នាក់,Male & Education,ស្ថិតិមនុស្សប្រុសនិងការអប់រំ,
10.a,M18_24SCH_high,18-24,18-24,# boy 18 to 24 ys who are in High School,People,នាក់,Male & Education,ស្ថិតិមនុស្សប្រុសនិងការអប់រំ,
10.b,M18_24UNI,18-24,18-24,# Boys 18-24 ys who go to University,People,នាក់,Male & Education,ស្ថិតិមនុស្សប្រុសនិងការអប់រំ,
10.c,M18_24VOC,18-24,18-24,# Boys 18-24 ys who go to VOCATIONAL TRAINING,People,នាក់,Male & Education,ស្ថិតិមនុស្សប្រុសនិងការអប់រំ,
10.d,M_ILT18_24,18-24,18-24,# illiterate men from 18-24ys,People,នាក់,Male & Education,ស្ថិតិមនុស្សប្រុសនិងការអប់រំ,
11,MAL_25_35,25-35,25-35 ឆ្នាំ,# Boys 25-35 years old,People,នាក់,Male & Education,ស្ថិតិមនុស្សប្រុសនិងការអប់រំ,
11.a,M25_35UNI,25-35,25-35,# Boys 25-35 ys who go to University,People,នាក់,Male & Education,ស្ថិតិមនុស្សប្រុសនិងការអប់រំ,
11.b,M25_35VOC,25-35,25-35,# Boys 25-35 ys who go to VOCATIONAL TRAINING,People,នាក់,Male & Education,ស្ថិតិមនុស្សប្រុសនិងការអប់រំ,
11.c,M_ILT25_35,25-35,25-35,# illiterate men from 25-35ys,People,នាក់,Male & Education,ស្ថិតិមនុស្សប្រុសនិងការអប់រំ,
12,MAL_36_45,36-45,36-45 ឆ្នាំ,# Boys 36-45 years old,People,នាក់,Male & Education,ស្ថិតិមនុស្សប្រុសនិងការអប់រំ,
12.a,M_ILT36_45,36-45,36-45,# illiterate men from 36-45ys,People,នាក់,Male & Education,ស្ថិតិមនុស្សប្រុសនិងការអប់រំ,
13,MAL_46_60,46-60,46-60 ឆ្នាំ,# Boys 46-60 years old,People,នាក់,Male & Education,ស្ថិតិមនុស្សប្រុសនិងការអប់រំ,
14,M_over61,61,61 ឆ្នាំឡើង,# Boys over 61 years old,People,នាក់,Male & Education,ស្ថិតិមនុស្សប្រុសនិងការអប់រំ,
15,MAL_TOT,Total,សរុប,Total number of males,People,នាក់,Male & Education,ស្ថិតិមនុស្សប្រុសនិងការអប់រំ,
16,FEM_0_2,0-2,0-2 ឆ្នាំ,# Girls 0-2 years old,People,នាក់,female & Education,ស្ថិតិមនុស្សស្រីនិងការអប់រំ,
17,FEM_3_4,3-4,3-4 ឆ្នាំ,# Girls 3-4 years old,People,នាក់,female & Education,ស្ថិតិមនុស្សស្រីនិងការអប់រំ,
17.a,F3_4Pre_S,3-4 Kindergarden,3-4 Kindergarden,# girl 3-4 ys who go to pre-school,People,នាក់,female & Education,ស្ថិតិមនុស្សស្រីនិងការអប់រំ,
18,FEM_5,5,5 ឆ្នាំ,# Girls 5 years old,People,នាក់,female & Education,ស្ថិតិមនុស្សស្រីនិងការអប់រំ,
18.a,F5_Pre_S,5 Kindergarden,5 Kindergarden,# girl 5 ys who go to pre-school,People,នាក់,female & Education,ស្ថិតិមនុស្សស្រីនិងការអប់រំ,
19,FEM_6,6,6 ឆ្នាំ,# Girls 6 years old,People,នាក់,female & Education,ស្ថិតិមនុស្សស្រីនិងការអប់រំ,
19.a,F6_go_PreSCH,6,6,# Girls 6 ys who go to PRE-school,People,នាក់,female & Education,ស្ថិតិមនុស្សស្រីនិងការអប់រំ,
19.b,F6_go_prime,6,6,# Girls 6 ys who go to PRIMARY school,People,នាក់,female & Education,ស្ថិតិមនុស្សស្រីនិងការអប់រំ,
20,FEM_7_11,7-11,7-11 ឆ្នាំ,# Girls 7-11 years old,People,នាក់,female & Education,ស្ថិតិមនុស្សស្រីនិងការអប់រំ,
20.a,F7_11_go_prime,7-11,7-11,# Girls 7-11 ys who go to PRIMARY school,People,នាក់,female & Education,ស្ថិតិមនុស្សស្រីនិងការអប់រំ,
21,FEM_12_14,12-14,12-14,# Girls 12-14 years old,People,នាក់,female & Education,ស្ថិតិមនុស្សស្រីនិងការអប់រំ,
21.a,F12_14_go_prime,12-14,12-14,# Girls 12-14 ys who go to PRIMARY school,People,នាក់,female & Education,ស្ថិតិមនុស្សស្រីនិងការអប់រំ,
21.b,F12_14_go_second,12-14,12-14,# Girls 12-14 ys who go to LOWER SECONDARY school,People,នាក់,female & Education,ស្ថិតិមនុស្សស្រីនិងការអប់រំ,
22,FEM_15_17,15-17,15-17 ឆ្នាំ,# Girls 15-17 years old,People,នាក់,female & Education,ស្ថិតិមនុស្សស្រីនិងការអប់រំ,
22.a,F_ILT15_17,15-17,15-17,# illiterate women from 15-17ys,People,នាក់,female & Education,ស្ថិតិមនុស្សស្រីនិងការអប់រំ,
22.b,F15_17_go_prime,15-17,15-17,# Girls 15-17 ys who go to PRIMARY school,People,នាក់,female & Education,ស្ថិតិមនុស្សស្រីនិងការអប់រំ,
22.c,F15_17SCH_second,15-17,15-17,# Girls 15-17 ys who go to UPPER SECONDARY school,People,នាក់,female & Education,ស្ថិតិមនុស្សស្រីនិងការអប់រំ,
22.d,F15_17SCH_high,15-17,15-17,# Girls 15-17 ys who go to High School,People,នាក់,female & Education,ស្ថិតិមនុស្សស្រីនិងការអប់រំ,
23,FEM_18_24,18-24,18-24 ឆ្នាំ,# Girls 18-24 years old,People,នាក់,female & Education,ស្ថិតិមនុស្សស្រីនិងការអប់រំ,
23.a,F18_24SCH_high,18-24,18-24,# girl 18 to 24 ys who are in High School,People,នាក់,female & Education,ស្ថិតិមនុស្សស្រីនិងការអប់រំ,
23.b,F18_24SUNI,18-24,18-24,# Girls 18-24 ys who go to University,People,នាក់,female & Education,ស្ថិតិមនុស្សស្រីនិងការអប់រំ,
23.c,F18_24VOC,18-24,18-24,# Girls 18-24 ys who go to VOCATIONAL TRAINING,People,នាក់,female & Education,ស្ថិតិមនុស្សស្រីនិងការអប់រំ,
23.d,F_ILT18_24,18-24,18-24,# illiterate women from 18-24ys,People,នាក់,female & Education,ស្ថិតិមនុស្សស្រីនិងការអប់រំ,
24,FEM_25_35,25-35,25-35 ឆ្នាំ,# Girls 25-35 years old,People,នាក់,female & Education,ស្ថិតិមនុស្សស្រីនិងការអប់រំ,
24.a,F25_35UNI,25-35,25-35,# Girls 25-35 ys who go to University,People,នាក់,female & Education,ស្ថិតិមនុស្សស្រីនិងការអប់រំ,
24.b,F25_35VOC,25-35,25-35,# Girls 25-35 ys who go to VOCATIONAL TRAINING,People,នាក់,female & Education,ស្ថិតិមនុស្សស្រីនិងការអប់រំ,
24.c,F_ILT25_35,25-35,25-35,# illiterate women from 25-35ys,People,នាក់,female & Education,ស្ថិតិមនុស្សស្រីនិងការអប់រំ,
25,FEM_36_45,36-45,36-45 ឆ្នាំ,# Girls 36-45 years old,People,នាក់,female & Education,ស្ថិតិមនុស្សស្រីនិងការអប់រំ,
25.a,F_ILT36_45,36-45,36-45,# illiterate women from 36-45ys,People,នាក់,female & Education,ស្ថិតិមនុស្សស្រីនិងការអប់រំ,
26,FEM_46_60,46-60,46-60 ឆ្នាំ,# Girls 46-60 years old,People,នាក់,female & Education,ស្ថិតិមនុស្សស្រីនិងការអប់រំ,
27,F_over61,61,61 ឆ្នាំឡើង,# Girls over 61 years old,People,នាក់,female & Education,ស្ថិតិមនុស្សស្រីនិងការអប់រំ,
28,FEM_TOT,Total,សរុប,Total number of females,People,នាក់,female & Education,ស្ថិតិមនុស្សស្រីនិងការអប់រំ,
29,KM_P_SCH,Distance from village center to primary school (grade 1 - grade 6),ចំងាយពីចំនុចកណ្តាលភូមិទៅសាលារៀនបឋមសិក្សា(ថ្នាក់ទី១ ដល់ថ្នាក់ទី៦),Distance in Km to nearest primary school,KM,គ.ម,School distance from the center of village,ទីតាំងសាលារៀននានាធៀបនឹងចំនុចកណ្តាលភូមិ,
30,KM_JuHSCH,Distance from village center to |unior secondary school (grade? - grade 9),ចំងាយពីចំនុចកណ្តាលភូមិទៅសាលាអនុវិទ្យាល័យ(ថ្នាក់ទី៧ ដល់ថ្នាក់ទី៩),Distance in Km to nearest junior secondary school,KM,គ.ម,School distance from the center of village,ទីតាំងសាលារៀននានាធៀបនឹងចំនុចកណ្តាលភូមិ,
31,KM_SeHSCH,Distance from village center to senior secondary school (gradel 0-grade 12),ចំងាយពីចំនុចកណ្តាលភូមិទៅសាលាវិទ្យាល័យ(ថ្នាក់ទី១០ ដល់ថ្នាក់ទី១២),Distance in Km to nearest senior secondary school,KM,គ.ម,School distance from the center of village,ទីតាំងសាលារៀននានាធៀបនឹងចំនុចកណ្តាលភូមិ,
32,M18_Rice_Far_P1,# of people whose occupation is rice farming or upland nee,ចំនួនមនុស្សមានមុខរបរធ្វើស្រូវស្រ ឬធ្វើស្រូវចំការ,"# Boys above 18, whose primary occupation is rice farmer or Chamkar rice farmer",People,នាក់,Rice farming,មុខរបរធ្វើស្រែ,
32.f,F18_Rice-Far_P1,# of people whose occupation is rice farming or upland nee,ចំនួនមនុស្សមានមុខរបរធ្វើស្រូវស្រ ឬធ្វើស្រូវចំការ,"# Girls above 18, whose primary occupation is rice farmer or Chamkar rice farmer",People,នាក់,Rice farming,មុខរបរធ្វើស្រែ,
32.a,M18_Rice_Far_P2,# of people whose occupation is rice farming or upland nee,ចំនួនមនុស្សមានមុខរបរធ្វើស្រូវស្រ ឬធ្វើស្រូវចំការ,"# Boys above 18, whose secondary occupation is rice farmer or Chamkar rice farmer",People,នាក់,Rice farming,មុខរបរធ្វើស្រែ,
32.a.f,F18_Rice-Far_P2,# of people whose occupation is rice farming or upland nee,ចំនួនមនុស្សមានមុខរបរធ្វើស្រូវស្រ ឬធ្វើស្រូវចំការ,"# Girls above 18, whose secondary occupation is rice farmer or Chamkar rice farmer",People,នាក់,Rice farming,មុខរបរធ្វើស្រែ,
33,M18_Long_Crop_P1,# of people whose occupation is cultivating long-term crops,ចំនួនមនុស្សមានមុខរបរដំាដំណាំចំការរយៈពេលវែង,"# Boys above 18, whose primary occupation is growing LONG TERM CROPS",People,នាក់,Rice farming,មុខរបរធ្វើស្រែ,
33.f,F18_Long_Crop_P1,# of people whose occupation is cultivating long-term crops,ចំនួនមនុស្សមានមុខរបរដំាដំណាំចំការរយៈពេលវែង,"# Girls above 18, whose primary occupation is growing LONG TERM CROPS",People,នាក់,Rice farming,មុខរបរធ្វើស្រែ,
33.a,M18_Long_Crop_P2,# of people whose occupation is cultivating long-term crops,ចំនួនមនុស្សមានមុខរបរដំាដំណាំចំការរយៈពេលវែង,"# Boys above 18, whose secondary occupation is growing LONG TERM CROPS",People,នាក់,Rice farming,មុខរបរធ្វើស្រែ,
33.a.f,F18_Long_Crop_P2,# of people whose occupation is cultivating long-term crops,ចំនួនមនុស្សមានមុខរបរដំាដំណាំចំការរយៈពេលវែង,"# Girls above 18, whose secondary occupation is growing LONG TERM CROPS",People,នាក់,Rice farming,មុខរបរធ្វើស្រែ,
34,M18_Short_Crop_P1,# of people whose occupation is cultivating short-term crops,ចំនួនមនុស្សមានមុខរបរដំាដំណាំចំការរយៈពេលខ្លី,"# Boys above 18, whose primary occupation is growing SHORT TERM CROPS",People,នាក់,Rice farming,មុខរបរធ្វើស្រែ,
34.f,F18_Short_Crop_P1,# of people whose occupation is cultivating short-term crops,ចំនួនមនុស្សមានមុខរបរដំាដំណាំចំការរយៈពេលខ្លី,"# Girls above 18, whose primary occupation is growing SHORT TERM CROPS",People,នាក់,Rice farming,មុខរបរធ្វើស្រែ,
34.a,M18_Short_Crop_P2,# of people whose occupation is cultivating short-term crops,ចំនួនមនុស្សមានមុខរបរដំាដំណាំចំការរយៈពេលខ្លី,"# Boys above 18, whose secondary occupation is growing SHORT TERM CROPS",People,នាក់,Rice farming,មុខរបរធ្វើស្រែ,
34.a.f,F18_Short_Crop_P2,# of people whose occupation is cultivating short-term crops,ចំនួនមនុស្សមានមុខរបរដំាដំណាំចំការរយៈពេលខ្លី,"# Girls above 18, whose secondary occupation is growing SHORT TERM CROPS",People,នាក់,Rice farming,មុខរបរធ្វើស្រែ,
35,M18_Vegetable_P1,# of people whose occupation is cultivating vegetable,ចំនួនមនុស្សមានមុខរបរដំាដំណាំបន្លែ,"# Boys above 18, whose primary occupation is growing VEGETABLES",People,នាក់,Rice farming,មុខរបរធ្វើស្រែ,
35.f,F18_Vegetable_P1,# of people whose occupation is cultivating vegetable,ចំនួនមនុស្សមានមុខរបរដំាដំណាំបន្លែ,"# Girls above 18, whose primary occupation is growing VEGETABLES",People,នាក់,Rice farming,មុខរបរធ្វើស្រែ,
35.a,M18_Vegetable_P2,# of people whose occupation is cultivating vegetable,ចំនួនមនុស្សមានមុខរបរដំាដំណាំបន្លែ,"# Boys above 18, whose secondary occupation is growing VEGETABLES",People,នាក់,Rice farming,មុខរបរធ្វើស្រែ,
35.a.f,F18_Vegetable_P2,# of people whose occupation is cultivating vegetable,ចំនួនមនុស្សមានមុខរបរដំាដំណាំបន្លែ,"# Girls above 18, whose secondary occupation is growing VEGETABLES",People,នាក់,Rice farming,មុខរបរធ្វើស្រែ,
36,M18_Fish_P1,# ol people whose occupation is fishing,ចំនួនមនុស្សមានមុខរបរនេសាទ,"# Boys above 18, whose primary occupation is FISHING",People,នាក់,Fishing livestock and NTFP,មុខរបរនេសាទ ចិញ្ចឹមសត្វ អនុផលព្រៃឈើ,
36.f,F18_Fish_P1,# of people whose occupation is fishing,ចំនួនមនុស្សមានមុខរបរនេសាទ,"# Girls above 18, whose primary occupation is FISHING",People,នាក់,Fishing livestock and NTFP,មុខរបរនេសាទ ចិញ្ចឹមសត្វ អនុផលព្រៃឈើ,
36.a,M18_Fish_P2,# of people whose occupation is fishing,ចំនួនមនុស្សមានមុខរបរនេសាទ,"# Boys above 18, whose secondary occupation is FISHING",People,នាក់,Fishing livestock and NTFP,មុខរបរនេសាទ ចិញ្ចឹមសត្វ អនុផលព្រៃឈើ,
36.a.f,F18_Fish_P2,# of people whose occupation is fishing,ចំនួនមនុស្សមានមុខរបរនេសាទ,"# Girls above 18, whose secondary occupation is FISHING",People,នាក់,Fishing livestock and NTFP,មុខរបរនេសាទ ចិញ្ចឹមសត្វ អនុផលព្រៃឈើ,
37,M18_Animal_Raising_P1,# of people whose occupation is animal raising,ចំនួនមនុស្សមានមុខរបរចិញ្ចឹមសត្វ,"# Boys above 18, whose primary occupation is ANIMAL RAISING",People,នាក់,Fishing livestock and NTFP,មុខរបរនេសាទ ចិញ្ចឹមសត្វ អនុផលព្រៃឈើ,
37.f,F18_Animal_Raising_P1,# of people whose occupation is animal raising,ចំនួនមនុស្សមានមុខរបរចិញ្ចឹមសត្វ,"# Girls above 18, whose primary occupation is ANIMAL RAISING",People,នាក់,Fishing livestock and NTFP,មុខរបរនេសាទ ចិញ្ចឹមសត្វ អនុផលព្រៃឈើ,
37.a,M18_Animal_Raising_P2,# of people whose occupation is animal raising,ចំនួនមនុស្សមានមុខរបរចិញ្ចឹមសត្វ,"# Boys above 18, whose secondary occupation is ANIMAL RAISING",People,នាក់,Fishing livestock and NTFP,មុខរបរនេសាទ ចិញ្ចឹមសត្វ អនុផលព្រៃឈើ,
37.a.f,F18_Animal_Raising_P2,# of people whose occupation is animal raising,ចំនួនមនុស្សមានមុខរបរចិញ្ចឹមសត្វ,"# Girls above 18, whose secondary occupation is ANIMAL RAISING",People,នាក់,Fishing livestock and NTFP,មុខរបរនេសាទ ចិញ្ចឹមសត្វ អនុផលព្រៃឈើ,
38,M18_NTFP_P1,# of people whose occupation is NTFP by-product forester,ចំនួនមនុស្សមានមុខរបរពីអនុផលព្រៃឈឺ,"# Boys above 18, whose primary occupation is NTFP",People,នាក់,Fishing livestock and NTFP,មុខរបរនេសាទ ចិញ្ចឹមសត្វ អនុផលព្រៃឈើ,
38.f,F18_NTFP_P1,# of people whose occupation is NTFP by-product forester,ចំនួនមនុស្សមានមុខរបរពីអនុផលព្រៃឈឺ,"# Girls above 18, whose primary occupation is NTFP",People,នាក់,Fishing livestock and NTFP,មុខរបរនេសាទ ចិញ្ចឹមសត្វ អនុផលព្រៃឈើ,
38.a,M18_NTFP_P2,# of people whose occupation is NTFP by-product forester,ចំនួនមនុស្សមានមុខរបរពីអនុផលព្រៃឈឺ,"# Boys above 18, whose secondary occupation is NTFP",People,នាក់,Fishing livestock and NTFP,មុខរបរនេសាទ ចិញ្ចឹមសត្វ អនុផលព្រៃឈើ,
38.a.f,F18_NTFP_P2,# of people whose occupation is NTFP by-product forester,ចំនួនមនុស្សមានមុខរបរពីអនុផលព្រៃឈឺ,"# Girls above 18, whose secondary occupation is NTFP",People,នាក់,Fishing livestock and NTFP,មុខរបរនេសាទ ចិញ្ចឹមសត្វ អនុផលព្រៃឈើ,
39,M18_WOVEN_Craft_P1,"# of people who is textile, clothing goods producer (scarf. Huol. Phamoung. Sarong. )",ចំនួនមនុស្សមានមុខរបរសិប្បកម្មត្បាញវវៃ (ក្រម៉ា ហូល ភាមួងសារុង កន្ទេល),"# Boys above 18, whose primary occupation is making WOVEN handicrafts",People,នាក់,Craflwork,មុខរបរធ្វើសិប្បកម្ម,
39.f,F18_WOVEN_Craft_P1,"# of people who is textile, clothing goods producer (scarf. Huol. Phamoung. Sarong. )",ចំនួនមនុស្សមានមុខរបរសិប្បកម្មត្បាញវវៃ (ក្រម៉ា ហូល ភាមួងសារុង កន្ទេល),"# Girls above 18, whose primary occupation is making WOVEN handicrafts",People,នាក់,Craflwork,មមុខរបរធ្វើសិប្បកម្ម,
39.a,M18_WOVEN_Craft_P2,"# of people who is textile, clothing goods producer (scarf. Huol. Phamoung. Sarong. )",ចំនួនមនុស្សមានមុខរបរសិប្បកម្មត្បាញវវៃ (ក្រម៉ា ហូល ភាមួងសារុង កន្ទេល),"# Boys above 18, whose secondary occupation is making WOVEN handicrafts",People,នាក់,Craflwork,មុខរបរធ្វើសិប្បកម្ម,
39.a.f,F18_WOVEN_Craft_P2,"# of people who is textile, clothing goods producer (scarf. Huol. Phamoung. Sarong. )",ចំនួនមនុស្សមានមុខរបរសិប្បកម្មត្បាញវវៃ (ក្រម៉ា ហូល ភាមួងសារុង កន្ទេល),"# Girls above 18, whose secondary occupation is making WOVEN handicrafts",People,នាក់,Craflwork,មុខរបរធ្វើសិប្បកម្ម,
41,M18_Fur1_Craft_P1,"# of people who is making handicraft from wooden, rattan, vine, and bamboo",ចំនួនមនុស្សមានមុខរបរសិប្បកម្មផលិតពីផ្តៅ វល្លិ៍ ល្ពាក់ ឬស្សី  (កន្រ្តកផ្កាអង្រុត...),"# Boys above 18, whose primary occupation is making WOOD/RATAN  handicrafts",People,នាក់,Craflwork,មុខរបរធ្វើសិប្បកម្ម,
41.f,F18_Fur1_Craft_P1,"# of people who is making handicraft from wooden, rattan, vine, and bamboo",ចំនួនមនុស្សមានមុខរបរសិប្បកម្មផលិតពីផ្តៅ វល្លិ៍ ល្ពាក់ ឬស្សី  (កន្រ្តកផ្កាអង្រុត...),"# Girls above 18, whose primary occupation is making WOOD/RATAN  handicrafts",People,នាក់,Craflwork,មមុខរបរធ្វើសិប្បកម្ម,
41.a,M18_Fur1_Craft_P2,"# of people who is making handicraft from wooden, rattan, vine, and bamboo",ចំនួនមនុស្សមានមុខរបរសិប្បកម្មផលិតពីផ្តៅ វល្លិ៍ ល្ពាក់ ឬស្សី  (កន្រ្តកផ្កាអង្រុត...),"# Boys above 18, whose secondary occupation is making WOOD/RATAN  handicrafts",People,នាក់,Craflwork,មុខរបរធ្វើសិប្បកម្ម,
41.a.f,F18_Fur1_Craft_P2,"# of people who is making handicraft from wooden, rattan, vine, and bamboo",ចំនួនមនុស្សមានមុខរបរសិប្បកម្មផលិតពីផ្តៅ វល្លិ៍ ល្ពាក់ ឬស្សី  (កន្រ្តកផ្កាអង្រុត...),"# Girls above 18, whose secondary occupation is making WOOD/RATAN  handicrafts",People,នាក់,Craflwork,មុខរបរធ្វើសិប្បកម្ម,
40,M18_Fur1_Craft_P2,"# of people who is making handicraft from wooden, rattan, vine, and bamboo",ចំនួនមនុស្សមានមុខរបរសិប្បកម្មផលិតពីផ្តៅ វល្លិ៍ ល្ពាក់ ឬស្សី  (កន្រ្តកផ្កាអង្រុត...),"# Boys above 18, whose secondary occupation is making WOOD/RATAN  handicrafts",People,នាក់,Craflwork,មុខរបរធ្វើសិប្បកម្ម,
40.f,F18_Fur1_Craft_P2,"# of people who is making handicraft from wooden, rattan, vine, and bamboo",ចំនួនមនុស្សមានមុខរបរសិប្បកម្មផលិតពីផ្តៅ វល្លិ៍ ល្ពាក់ ឬស្សី  (កន្រ្តកផ្កាអង្រុត...),"# Girls above 18, whose secondary occupation is making WOOD/RATAN  handicrafts",People,នាក់,Craflwork,មុខរបរធ្វើសិប្បកម្ម,
40.a,M18_Fur2_Craft_P2,"# of people who is making handicraft from wooden, rattan, vine, and bamboo",ចំនួនមនុស្សមានមុខរបរសិប្បកម្មផលិតពីផ្តៅ វល្លិ៍ ល្ពាក់ ឬស្សី  (កន្រ្តកផ្កាអង្រុត...),"# Boys above 18, whose secondary occupation is making WOODEN FURNITURE",People,នាក់,Craflwork,មុខរបរធ្វើសិប្បកម្ម,
40.a.f,F18_Fur2_Craft_P2,"# of people who is making handicraft from wooden, rattan, vine, and bamboo",ចំនួនមនុស្សមានមុខរបរសិប្បកម្មផលិតពីផ្តៅ វល្លិ៍ ល្ពាក់ ឬស្សី  (កន្រ្តកផ្កាអង្រុត...),"# Girls above 18, whose secondary occupation is making WOODEN FURNITURE",People,នាក់,Craflwork,មុខរបរធ្វើសិប្បកម្ម,
42,M18_Metal_Craft_P1,"# of people who is carving stone, sulphur, leathers",ចំនួនមនុស្សមានមុខរបរសិប្បកម្មចម្លាក់ធ្វើពិថ្ម ស្ពាន់ ស្បែក,"# Boys above 18, whose primary occupation is STONE/METAL/LEATHER handicrafts",People,នាក់,Craflwork,មុខរបរធ្វើសិប្បកម្ម,
42.f,F18_Metal_Craft_P1,"# of people who is carving stone, sulphur, leathers",ចំនួនមនុស្សមានមុខរបរសិប្បកម្មចម្លាក់ធ្វើពិថ្ម ស្ពាន់ ស្បែក,"# Girls above 18, whose primary occupation is STONE/METAL/LEATHER handicrafts",People,នាក់,Craflwork,មមុខរបរធ្វើសិប្បកម្ម,
42.a,M18_Metal_Craft_P2,"# of people who is carving stone, sulphur, leathers",ចំនួនមនុស្សមានមុខរបរសិប្បកម្មចម្លាក់ធ្វើពិថ្ម ស្ពាន់ ស្បែក,"# Boys above 18, whose secondary occupation is STONE/METAL/LEATHER handicrafts",People,នាក់,Craflwork,មុខរបរធ្វើសិប្បកម្ម,
42.a.f,F18_Metal_Craft_P2,"# of people who is carving stone, sulphur, leathers",ចំនួនមនុស្សមានមុខរបរសិប្បកម្មចម្លាក់ធ្វើពិថ្ម ស្ពាន់ ស្បែក,"# Girls above 18, whose secondary occupation is STONE/METAL/LEATHER handicrafts",People,នាក់,Craflwork,មុខរបរធ្វើសិប្បកម្ម,
43,M18_Iron_Craft_P1,"# of people whose occupation is producing steel, aluminium, and glass",ចំនួនមនុស្សមានមុខរបរសិប្បកម្មផលិតពីដែក អាលុយមីញូម កញ្ចក់,"# Boys above 18, whose primary occupation is IRON, ALUMINIUM, GLASS products",People,នាក់,Craflwork,មុខរបរធ្វើសិប្បកម្ម,
43.f,M18_Iron_Craft_P2,"# of people whose occupation is producing steel, aluminium, and glass",ចំនួនមនុស្សមានមុខរបរសិប្បកម្មផលិតពីដែក អាលុយមីញូម កញ្ចក់,"# Boys above 18, whose secondary occupation is IRON, ALUMINIUM, GLASS products",People,នាក់,Craflwork,មុខរបរធ្វើសិប្បកម្ម,
43.a,Iron_Crafts,"# location of steel, aluminium, glass goods",ចំនួនទីតាំង សិប្បកម្មផលិត ពីដែក អាលុយមីញូម កញ្ចក់,"# of handicrafts locations making of  iron, aluminum, glass products",People,នាក់,Craflwork,មុខរបរធ្វើសិប្បកម្ម,
43.a.f,Fe_Iron_Crafts,"# location of steel, aluminium, glass goods",ចំនួនទីតាំង សិប្បកម្មផលិត ពីដែក អាលុយមីញូម កញ្ចក់,"# of FEMALE workers employed in handicrafts locations making iron, aluminum, glass products",People,នាក់,Craflwork,មុខរបរធ្វើសិប្បកម្ម,
