no,group_en,group_kh,sub_group_en,sub_group_kh,question_en,question_kh,unit_en,unit_kh
26,,ស្រូវបង្កើនរដូវ,,លើកទី១,,"សរុបបរិមាណផលិតផលស្រូវ,,
(ប៉ាន់ស្មានក្នុងឆ្នាំ)",,ហ.ត,,,,,,
26,,ស្រូវបង្កើនរដូវ,,លើកទី២,,"សរុបបរិមាណផលិតផលស្រូវ,,
(ប៉ាន់ស្មានក្នុងឆ្នាំ)",,ហ.ត,,,,,,
27,,ស្រូវចំការ,,,,សរុបផ្ទៃដីស្រូវចំការដែលបានដាំដុះជាក់ស្តែង,,ហ.ត
28,,ស្រូវចំការ,,,,ទិន្នផលស្រូវជាមធ្យមក្នងមួយហិកតា,,តោន/ហ.ត
29,,ស្រូវចំការ,,,,សរុបបរិមាណផលិតផលស្រូវចំការ (ប៉ាន់ស្មានក្នុងឆ្នាំ),,ហ.ត
30,,ប្រភេទដំណាំ,,ផ្ទៃដីដាំបានក្នុងឆ្នាំនេះ (ប៉ាន់ស្មាន),,ពោត,,ហ.ត
30,,ប្រភេទដំណាំ,,ទិន្នផលជាមធ្យម ក្នុងមួយហិកតា,,ពោត,,តោន
30,,ប្រភេទដំណាំ,,បរិមាណផលិតផល (ប៉ាន់ស្មាន),,ពោត,,តោន
31,,ប្រភេទដំណាំ,,ផ្ទៃដីដាំបានក្នុងឆ្នាំនេះ (ប៉ាន់ស្មាន),,សណ្តែកសៀង,,ហ.ត
31,,ប្រភេទដំណាំ,,ទិន្នផលជាមធ្យម ក្នុងមួយហិកតា,,សណ្តែកសៀង,,តោន
31,,ប្រភេទដំណាំ,,បរិមាណផលិតផល (ប៉ាន់ស្មាន),,សណ្តែកសៀង,,តោន
32,,ប្រភេទដំណាំ,,ផ្ទៃដីដាំបានក្នុងឆ្នាំនេះ (ប៉ាន់ស្មាន),,សណ្តែកបាយ,,ហ.ត
32,,ប្រភេទដំណាំ,,ទិន្នផលជាមធ្យម ក្នុងមួយហិកតា,,សណ្តែកបាយ,,តោន
32,,ប្រភេទដំណាំ,,បរិមាណផលិតផល (ប៉ាន់ស្មាន),,សណ្តែកបាយ,,តោន
33,,ប្រភេទដំណាំ,,ផ្ទៃដីដាំបានក្នុងឆ្នាំនេះ (ប៉ាន់ស្មាន),,សណ្តែកដី,,ហ.ត
33,,ប្រភេទដំណាំ,,ទិន្នផលជាមធ្យម ក្នុងមួយហិកតា,,សណ្តែកដី,,តោន
33,,ប្រភេទដំណាំ,,បរិមាណផលិតផល (ប៉ាន់ស្មាន),,សណ្តែកដី,,តោន
34,,ប្រភេទដំណាំ,,ផ្ទៃដីដាំបានក្នុងឆ្នាំនេះ (ប៉ាន់ស្មាន),,ដំឡូងមី,,ហ.ត
34,,ប្រភេទដំណាំ,,ទិន្នផលជាមធ្យម ក្នុងមួយហិកតា,,ដំឡូងមី,,តោន
34,,ប្រភេទដំណាំ,,បរិមាណផលិតផល (ប៉ាន់ស្មាន),,ដំឡូងមី,,តោន
35,,ប្រភេទដំណាំ,,ផ្ទៃដីដាំបានក្នុងឆ្នាំនេះ (ប៉ាន់ស្មាន),,ដំឡូងជ្វា,,ហ.ត
35,,ប្រភេទដំណាំ,,ទិន្នផលជាមធ្យម ក្នុងមួយហិកតា,,ដំឡូងជ្វា,,តោន
35,,ប្រភេទដំណាំ,,បរិមាណផលិតផល (ប៉ាន់ស្មាន),,ដំឡូងជ្វា,,តោន
36,,ប្រភេទដំណាំ,,ផ្ទៃដីដាំបានក្នុងឆ្នាំនេះ (ប៉ាន់ស្មាន),,ល្ង,,ហ.ត
36,,ប្រភេទដំណាំ,,ទិន្នផលជាមធ្យម ក្នុងមួយហិកតា,,ល្ង,,តោន
36,,ប្រភេទដំណាំ,,បរិមាណផលិតផល (ប៉ាន់ស្មាន),,ល្ង,,តោន
37,,ប្រភេទដំណាំ,,ផ្ទៃដីដាំបានក្នុងឆ្នាំនេះ (ប៉ាន់ស្មាន),,អំពៅ,,ហ.ត
37,,ប្រភេទដំណាំ,,ទិន្នផលជាមធ្យម ក្នុងមួយហិកតា,,អំពៅ,,តោន
37,,ប្រភេទដំណាំ,,បរិមាណផលិតផល (ប៉ាន់ស្មាន),,អំពៅ,,តោន
38,,ប្រភេទដំណាំចំការ,,ផ្ទៃដីបានដាំ,,កៅស៊ូ,,ហ.ត
38,,ប្រភេទដំណាំចំការ,,ផ្ទៃដីកំពុងទទួលផល,,កៅស៊ូ,,ហ.ត
38,,ប្រភេទដំណាំចំការ,,"ទិន្នផលជា,,,,
មធ្យមក្នុង១ហ.ត",កៅស៊ូ,,,,តោន,,,
38,,ប្រភេទដំណាំចំការ,,បរិមាណផលិតផល (ប៉ាន់ស្មាន),,កៅស៊ូ,,តោន
39,,ប្រភេទដំណាំចំការ,,ផ្ទៃដីបានដាំ,,ដូងប្រេង,,ហ.ត
39,,ប្រភេទដំណាំចំការ,,ផ្ទៃដីកំពុងទទួលផល,,ដូងប្រេង,,ហ.ត
39,,ប្រភេទដំណាំចំការ,,"ទិន្នផលជា,,,,
មធ្យមក្នុង១ហ.ត",ដូងប្រេង,,,,តោន,,,
39,,ប្រភេទដំណាំចំការ,,បរិមាណផលិតផល (ប៉ាន់ស្មាន),,ដូងប្រេង,,តោន
40,,ប្រភេទដំណាំចំការ,,ផ្ទៃដីបានដាំ,,ម្រេច,,ហ.ត
40,,ប្រភេទដំណាំចំការ,,ផ្ទៃដីកំពុងទទួលផល,,ម្រេច,,ហ.ត
40,,ប្រភេទដំណាំចំការ,,"ទិន្នផលជា,,,,
មធ្យមក្នុង១ហ.ត",ម្រេច,,,,តោន,,,
40,,ប្រភេទដំណាំចំការ,,បរិមាណផលិតផល (ប៉ាន់ស្មាន),,ម្រេច,,តោន
41,,ប្រភេទដំណាំចំការ,,ផ្ទៃដីបានដាំ,,ស្វាយចន្ទី,,ហ.ត
41,,ប្រភេទដំណាំចំការ,,ផ្ទៃដីកំពុងទទួលផល,,ស្វាយចន្ទី,,ហ.ត
41,,ប្រភេទដំណាំចំការ,,"ទិន្នផលជា,,,,
មធ្យមក្នុង១ហ.ត",ស្វាយចន្ទី,,,,តោន,,,
41,,ប្រភេទដំណាំចំការ,,បរិមាណផលិតផល (ប៉ាន់ស្មាន),,ស្វាយចន្ទី,,តោន
42,,ប្រភេទដំណាំចំការ,,ផ្ទៃដីបានដាំ,,ស្វាយ,,ហ.ត
42,,ប្រភេទដំណាំចំការ,,ផ្ទៃដីកំពុងទទួលផល,,ស្វាយ,,ហ.ត
42,,ប្រភេទដំណាំចំការ,,"ទិន្នផលជា,,,,
មធ្យមក្នុង១ហ.ត",ស្វាយ,,,,តោន,,,
42,,ប្រភេទដំណាំចំការ,,បរិមាណផលិតផល (ប៉ាន់ស្មាន),,ស្វាយ,,តោន
43,,ប្រភេទដំណាំចំការ,,ផ្ទៃដីបានដាំ,,ធុរេន,,ហ.ត
43,,ប្រភេទដំណាំចំការ,,ផ្ទៃដីកំពុងទទួលផល,,ធុរេន,,ហ.ត
43,,ប្រភេទដំណាំចំការ,,"ទិន្នផលជា,,,,
មធ្យមក្នុង១ហ.ត",ធុរេន,,,,តោន,,,
43,,ប្រភេទដំណាំចំការ,,បរិមាណផលិតផល (ប៉ាន់ស្មាន),,ធុរេន,,តោន
44,,ប្រភេទដំណាំចំការ,,ផ្ទៃដីបានដាំ,,សាម៉ាវ,,ហ.ត
44,,ប្រភេទដំណាំចំការ,,ផ្ទៃដីកំពុងទទួលផល,,សាម៉ាវ,,ហ.ត
44,,ប្រភេទដំណាំចំការ,,"ទិន្នផលជា,,,,
មធ្យមក្នុង១ហ.ត",សាម៉ាវ,,,,តោន,,,
44,,ប្រភេទដំណាំចំការ,,បរិមាណផលិតផល (ប៉ាន់ស្មាន),,សាម៉ាវ,,តោន
45,,ប្រភេទដំណាំចំការ,,ផ្ទៃដីបានដាំ,,មង្ឃុត,,ហ.ត
45,,ប្រភេទដំណាំចំការ,,ផ្ទៃដីកំពុងទទួលផល,,មង្ឃុត,,ហ.ត
45,,ប្រភេទដំណាំចំការ,,"ទិន្នផលជា,,,,
មធ្យមក្នុង១ហ.ត",មង្ឃុត,,,,តោន,,,
45,,ប្រភេទដំណាំចំការ,,បរិមាណផលិតផល (ប៉ាន់ស្មាន),,មង្ឃុត,,តោន
46,,ប្រភេទដំណាំចំការ,,ផ្ទៃដីបានដាំ,,ស្រកានាគ,,ហ.ត
46,,ប្រភេទដំណាំចំការ,,ផ្ទៃដីកំពុងទទួលផល,,ស្រកានាគ,,ហ.ត
46,,ប្រភេទដំណាំចំការ,,"ទិន្នផលជា,,,,
មធ្យមក្នុង១ហ.ត",ស្រកានាគ,,,,តោន,,,
46,,ប្រភេទដំណាំចំការ,,បរិមាណផលិតផល (ប៉ាន់ស្មាន),,ស្រកានាគ,,តោន
47,,ប្រភេទដំណាំចំការ,,ផ្ទៃដីបានដាំ,,មៀនប៉ៃលិន(តាង៉ែន),,ហ.ត
47,,ប្រភេទដំណាំចំការ,,ផ្ទៃដីកំពុងទទួលផល,,មៀនប៉ៃលិន(តាង៉ែន),,ហ.ត
47,,ប្រភេទដំណាំចំការ,,"ទិន្នផលជា,,,,
មធ្យមក្នុង១ហ.ត",មៀនប៉ៃលិន(តាង៉ែន),,,,តោន,,,
47,,ប្រភេទដំណាំចំការ,,បរិមាណផលិតផល (ប៉ាន់ស្មាន),,មៀនប៉ៃលិន(តាង៉ែន),,តោន
48,,ប្រភេទដំណាំចំការ,,ផ្ទៃដីបានដាំ,,ក្រូចពោធិសាត់,,ហ.ត
48,,ប្រភេទដំណាំចំការ,,ផ្ទៃដីកំពុងទទួលផល,,ក្រូចពោធិសាត់,,ហ.ត
48,,ប្រភេទដំណាំចំការ,,"ទិន្នផលជា,,,,
មធ្យមក្នុង១ហ.ត",ក្រូចពោធិសាត់,,,,តោន,,,
48,,ប្រភេទដំណាំចំការ,,បរិមាណផលិតផល (ប៉ាន់ស្មាន),,ក្រូចពោធិសាត់,,តោន
49,,,,,,ប្រវែងផ្លូវជាតិដែលឆ្លងកាត់ឃុំសង្កាត់ (ផ្លូវដែលស្ថិតក្រោមការគ្រប់គ្រងថ្នាក់ជាតិ) ,,ម៉ែត្រ
50,,,,,,ប្រវែងផ្លូវខេត្តរាជធានីឬក្រុងស្រុកខណ្ឌដែលឆ្លងកាត់ឃុំសង្កាត់ (ផ្លូវដែលស្ថិតក្រោមការគ្រប់គ្រងថ្នាក់ខេត្តរាជធានី ឬ​ ក្រុងស្រុកខណ្ឌ),,ម៉ែត្រ
51,,ចំនួនខ្សែនិងប្រវែងផ្លូវដែលមាននៅក្នុងឃុំសង្កត់ (ផ្លូវដែលស្ថិតនៅការគ្រប់គ្រង ថែទាំរបស់ឃុំសង្កាត់),,,,ខ្សែ,,ខ្សែ
51,,,,,,ម៉ែត្រ,,ម៉ែត្រ
:51,1:,,ក្នុងនោះ,,ប្រភេទផ្លូវបេទីមីណឹ,,ប្រភេទផ្លូវបេទីមីណឹ,,ម៉ែត្រ
:51,2:,,ក្នុងនោះ,,,,ប្រភេទផ្លូវ DBST,,ម៉ែត្រ
:51,3:,,ក្នុងនោះ,,,,ប្រភេទផ្លូវ MAKADAM,,ម៉ែត្រ
:51,4:,,ក្នុងនោះ,,,,ប្រភេទផ្លូវចាក់បេតុង,,ម៉ែត្រ
:51,5:,,ក្នុងនោះ,,,,ប្រភេទផ្លូវ ក្រាលគ្រួសក្រហម ខ្សាច់ភ្នំ,,ម៉ែត្រ
:51,6:,,ក្នុងនោះ,,,,ប្រភេទផ្លូវ ដីសរ(ផ្លូវលើកដីសររួច),,ម៉ែត្រ
:51,7:,,ក្នុងនោះ,,,,ប្រភេទផ្លូវលំធម្មតា,,ម៉ែត្រ
52,,ផ្នែកអប់រំ,,,,ចំនួនកន្លែងឬទីតាំង,,កន្លែង
53,,ផ្នែកអប់រំ,,,,ចំនួនគ្រូ(ម៉ែបង្គោល)បានចូលរួម,,នាក់
54,,ផ្នែកអប់រំ,,,,ចំនួនក្មេងៗដែលបានចូលរួម,,នាក់
55,,ចំនួនកន្លងឬទីតាំង,,,,ចំនួនកន្លងឬទីតាំង,,កន្លែង/ថ្នាក់
56,,ចំនួនសិស្សរៀន,,,,សរុប,,នាក់
57,,ចំនួនគ្រូបង្រៀន,,,,សរុប,,នាក់
58,,ចំនួនសាលា,,សាលាមត្តេយ្យរដ្,,សាលាមត្តេយ្យរដ្,,កន្លែង
58,,ចំនួនសាលា,,សាលាមត្តេយ្យឯកជន,,សាលាមត្តេយ្យឯកជន,,កន្លែង
59,,ចំនួនបន្ទប់,,សាលាមត្តេយ្យរដ្,,សាលាមត្តេយ្យរដ្,,បន្ទប់
59,,ចំនួនបន្ទប់,,សាលាមត្តេយ្យឯកជន,,សាលាមត្តេយ្យឯកជន,,បន្ទប់
60,,ចំនួនថ្នាក់,,សាលាមត្តេយ្យរដ្,,សាលាមត្តេយ្យរដ្,,ថ្នាក់
60,,ចំនួនថ្នាក់,,សាលាមត្តេយ្យឯកជន,,សាលាមត្តេយ្យឯកជន,,ថ្នាក់
61,,ចំនួនសិស្សកំពុងនៅរៀន,,សាលាមត្តេយ្យរដ្,,សរុប,,នាក់
61,,ចំនួនសិស្សកំពុងនៅរៀន,,សាលាមត្តេយ្យឯកជន,,សរុប,,នាក់
62,,ចំនួនបុគ្គលិកមិនបង្រៀន,,សាលាមត្តេយ្យរដ្,,សរុប,,នាក់
62,,ចំនួនបុគ្គលិកមិនបង្រៀន,,សាលាមត្តេយ្យឯកជន,,សរុប,,នាក់
63,,ចំនួនគ្រូបង្រៀន,,សាលាមត្តេយ្យរដ្,,សរុប,,នាក់
63,,ចំនួនគ្រូបង្រៀន,,សាលាមត្តេយ្យឯកជន,,សរុប,,នាក់
64,,ចំនួនសាលា,,សាលាបឋមសិក្សារដ្ឋ,,ចំនួនសាលា,,កន្លែង
64,,ចំនួនសាលា,,សាលាបឋមសិក្សាឯកជន,,ចំនួនសាលា,,កន្លែង
65,,ចំនួនបន្ទប់,,សាលាបឋមសិក្សារដ្ឋ,,ចំនួនបន្ទប់,,បន្ទប់
65,,ចំនួនបន្ទប់,,សាលាបឋមសិក្សាឯកជន,,ចំនួនបន្ទប់,,បន្ទប់
66,,ចំនួនថ្នាក់,,សាលាបឋមសិក្សារដ្ឋ,,ចំនួនថ្នាក់,,ថ្នាក់
66,,ចំនួនថ្នាក់,,សាលាបឋមសិក្សាឯកជន,,ចំនួនថ្នាក់,,ថ្នាក់
67,,ចំនួនសិស្សកំពុងនៅរៀន,,សាលាបឋមសិក្សារដ្ឋ,,សរុប,,នាក់
67,,ចំនួនសិស្សកំពុងនៅរៀន,,សាលាបឋមសិក្សាឯកជន,,សរុប,,នាក់
68,,ចំនួនបុគ្គលិកមិនបង្រៀន,,សាលាបឋមសិក្សារដ្ឋ,,សរុប,,នាក់
68,,ចំនួនបុគ្គលិកមិនបង្រៀន,,សាលាបឋមសិក្សាឯកជន,,សរុប,,នាក់
69,,ចំនួនគ្រូបង្រៀន,,សាលាបឋមសិក្សារដ្ឋ,,សរុប,,នាក់
69,,ចំនួនគ្រូបង្រៀន,,សាលាបឋមសិក្សាឯកជន,,សរុប,,នាក់
70,,,,,,ចំនួនសាលាមានទឹកស្អាតប្រើប្រាស់,,សាលា
:70,1:,,ក្នុងនោះ,,,,សាលាមានទឹកម៉ាស៊ីនប្រើប្រាស់,,សាលា
:70,2:,,ក្នុងនោះ,,,,សាលាមានទឹកអណ្តូងខួងប្រើប្រាស់,,សាលា
:70,3:,,ក្នុងនោះ,,,,សាលាមានទឹកអណ្តូងជីកមានការការពារ,,សាលា
71,,,,,,ចំនួនសាលាមានបង្គន់អនាម័យសំរាប់សិស្សប្រើប្រាស់,,សាលា
:71,1:,,ក្នុងនោះ,,បង្គន់មានលក្ខណៈបច្ចកទេស,,ចំនួនបន្ទប់បង្គន់សរុប,,
:71,2:,,ក្នុងនោះ,,បង្គន់គ្មានលក្ខណៈបច្ចកទេស,,ចំនួនបន្ទប់បង្គន់សរុប,,
72,,ចំនួនសាលា,,អនុវិទ្យាល័យរដ្ឋ,,ចំនួនសាលា,,កន្លែង
72,,ចំនួនសាលា,,អនុវិទ្យាឯកជន,,ចំនួនសាលា,,កន្លែង
73,,ចំនួនបន្ទប់,,អនុវិទ្យាល័យរដ្ឋ,,ចំនួនបន្ទប់,,បន្ទប់
73,,ចំនួនបន្ទប់,,អនុវិទ្យាឯកជន,,ចំនួនបន្ទប់,,បន្ទប់
74,,ចំនួនថ្នាក់,,អនុវិទ្យាល័យរដ្ឋ,,ចំនួនថ្នាក់,,ថ្នាក់
74,,ចំនួនថ្នាក់,,អនុវិទ្យាឯកជន,,ចំនួនថ្នាក់,,ថ្នាក់
75,,ចំនួនសិស្សកំពុងនៅរៀន,,អនុវិទ្យាល័យរដ្ឋ,,សរុប,,នាក់
75,,ចំនួនសិស្សកំពុងនៅរៀន,,អនុវិទ្យាឯកជន,,សរុប,,នាក់
76,,ចំនួនបុគ្គលិកមិនបង្រៀន,,អនុវិទ្យាល័យរដ្ឋ,,សរុប,,នាក់
76,,ចំនួនបុគ្គលិកមិនបង្រៀន,,អនុវិទ្យាឯកជន,,សរុប,,នាក់
77,,ចំនួនគ្រូបង្រៀន,,អនុវិទ្យាល័យរដ្ឋ,,សរុប,,នាក់
77,,ចំនួនគ្រូបង្រៀន,,អនុវិទ្យាឯកជន,,សរុប,,នាក់
78,,,,,,ចំនួនអនុវិទ្យាល័យមានទឹកស្អាតប្រើប្រាស់,,សាលា
:78,1:,,ក្នុងនោះ,,,,អនុវិទ្យាល័យមានទឹកម៉ាស៊ីនប្រើប្រាស់,,សាលា
:78,2:,,ក្នុងនោះ,,,,អនុវិទ្យាល័យមានទឹកអណ្តូងខួងប្រើប្រាស់,,សាលា
:78,3:,,ក្នុងនោះ,,,,អនុវិទ្យាល័យមានទឹកអណ្តូងជីកមានការការពារ,,សាលា
79,,,,,,ចំនួនអនុវិទ្យាល័យមានបង្គន់អនាម័យសំរាប់សិស្សប្រើប្រាស់,,សាលា
:79,1:,,ក្នុងនោះ,,បង្គន់មានលក្ខណៈបច្ចកទេស,,ចំនួនបន្ទប់បង្គន់សរុប,,
:79,2:,,ក្នុងនោះ,,បង្គន់គ្មានលក្ខណៈបច្ចកទេស,,ចំនួនបន្ទប់បង្គន់សរុប,,
,,,,,,,,
80,,ចំនួនសាលា,,វិទ្យាល័យរដ្ឋ,,ចំនួនសាលា,,កន្លែង
80,,ចំនួនសាលា,,វិទ្យាល័យឯកជន,,ចំនួនសាលា,,កន្លែង
81,,ចំនួនបន្ទប់,,វិទ្យាល័យរដ្ឋ,,ចំនួនបន្ទប់,,បន្ទប់
81,,ចំនួនបន្ទប់,,វិទ្យាល័យឯកជន,,ចំនួនបន្ទប់,,បន្ទប់
82,,ចំនួនថ្នាក់,,វិទ្យាល័យរដ្ឋ,,ចំនួនថ្នាក់,,ថ្នាក់
82,,ចំនួនថ្នាក់,,វិទ្យាល័យឯកជន,,ចំនួនថ្នាក់,,ថ្នាក់
83,,ចំនួនសិស្សកំពុងនៅរៀន,,វិទ្យាល័យរដ្ឋ,,សរុប,,នាក់
83,,ចំនួនសិស្សកំពុងនៅរៀន,,វិទ្យាល័យឯកជន,,សរុប,,នាក់
84,,ចំនួនបុគ្គលិកមិនបង្រៀន,,វិទ្យាល័យរដ្ឋ,,សរុប,,នាក់
84,,ចំនួនបុគ្គលិកមិនបង្រៀន,,វិទ្យាល័យឯកជន,,សរុប,,នាក់
85,,ចំនួនគ្រូបង្រៀន,,វិទ្យាល័យរដ្ឋ,,សរុប,,នាក់
85,,ចំនួនគ្រូបង្រៀន,,វិទ្យាល័យឯកជន,,សរុប,,នាក់
86,,,,,,ចំនួនវិទ្យាល័យមានទឹកស្អាតប្រើប្រាស់,,សាលា
:86,1:,,ក្នុងនោះ,,,,វិទ្យាល័យមានទឹកម៉ាស៊ីនប្រើប្រាស់,,សាលា
:86,2:,,ក្នុងនោះ,,,,វិទ្យាល័យមានទឹកអណ្តូងខួងប្រើប្រាស់,,សាលា
:86,3:,,ក្នុងនោះ,,,,វិទ្យាល័យមានទឹកអណ្តូងជីកមានការការពារ,,សាលា
87,,,,,,ចំនួនវិទ្យាល័យមានបង្គន់អនាម័យសំរាប់សិស្សប្រើប្រាស់,,សាលា
:87,1:,,ក្នុងនោះ,,បង្គន់មានលក្ខណៈបច្ចកទេស,,ចំនួនបន្ទប់បង្គន់សរុប,,
:87,2:,,ក្នុងនោះ,,បង្គន់គ្មានលក្ខណៈបច្ចកទេស,,ចំនួនបន្ទប់បង្គន់សរុប,,
88,,ថា្នក់អក្ខរកម្មកំពុងដំណើរការ,,,,ចំនួនថ្នាក់,,ថ្នាក់
88,,ថា្នក់អក្ខរកម្មកំពុងដំណើរការ,,,,ចំនួនគ្រូអក្ខរកម្ម,,នាក់
88,,ថា្នក់អក្ខរកម្មកំពុងដំណើរការ,,,,សិស្សអក្ខរកម្ម,,នាក់
89,,ថា្នក់អក្ខរកម្មបានបញ្ចប់,,,,ចំនួនថ្នាក់,,ថ្នាក់
89,,ថា្នក់អក្ខរកម្មបានបញ្ចប់,,,,ចំនួនគ្រូអក្ខរកម្ម,,នាក់
89,,ថា្នក់អក្ខរកម្មបានបញ្ចប់,,,,សិស្សអក្ខរកម្ម,,នាក់
90,,,,,,សហគមន៏ការពារព្រៃឈើ,,
91,,,,,,សហគមន៏នេសាទ,,
92,,,,,,សហគមន៏ការពារធនធានធម្មជាតិនិងបរិស្ថាន,,
93,,,,,,សហគមន៏គ្រប់គ្រងនិងប្រើប្រាស់ទឹកប្រព័ន្ធធារាសាស្ត្រ,,
94,,,,,,សហគមន៏ទេសចរណ៏,,
95,,,,,,ចំនួនផ្ទៃដីដែលខូចខាតដោយសារទឹកជំនន់,,ហ.ត
:95,1:,,ក្នុងនោះ,,,,ផ្ទៃដីស,,ហ.ត
:95,1:,,ក្នុងនោះ,,,,ផ្ទៃដីដំណាំរួមផ្សំ,,ហ.ត
96,,,,,,ប្រវែងផ្លូវដែលខូចខាតដោយសារទឹកជំនន់,,ម៉ែត្រ
97,,,,,,ចំនួនស្ពានដែលខូចខាតដោយសារទឹកជំនន់,,កន្លែង
98,,,,,,ចំនួនផ្ទៃដីស្រែដែលខូចខាតដោយសារគ្រោះរាំងស្ងួត,,ហ.ត
99,,,,,,ចំនួនផ្ទៃដីស្រែដែលខូចខាតដោយសារសត្វល្អិតបំផ្លាញ,,ហ.ត
100,,,,,,ចំនួនអគ្គីភ័យដែលកើតឡើង (ឆេះផ្ទះ ឆេះផ្សារ),,លើក
101,,,,,,ចំនួនទីទួលសុវត្តិភាព,,កន្លែង
102,,,,,,ចំនួនផ្ទៃដីបានដាំដើមឈើឡើងវិញ,,ហ.ត
103,,,,,,ចំនួនកុមារចុះបញ្ជីសំបុត្រកំណើត(ក្រោយកើត៣០ថ្ងៃ),,នាក់
103,,,,,,ចំនួនកុមារអាយុពី ០-១ ឆ្នាំមានសំបុត្រ ឬលិខិតបញ្ជាក់កំណើត,,នាក់
103,,,,,,ចំនួនកុមារអាយុពី ០-៥ ឆ្នាំមានសំបុត្រឬលិខិតបញ្ចាក់កំណើត,,នាក់
104,,,,,,ចំនួនគូស្រករដែលបានសុំច្បាប់រៀបអាពាហ៏ពិពាហ៏,,
105,,,,,,ចំនួនគូស្រករដែលមកចុះលិខិតអាពាហ៏ពិពាហ៏,,
106,,,,,,ចំនួនមនុស្សបានចុះបញ្ជីមរណភាព,,
107,,,,,,ចំនួនគ្រួសារមានប័ណ្ណកម្មសិទ្ធិដីធ្លីជាផ្លូវការ,,
108,,,,,,ចំនួនករណីផ្ទុះមីនសល់ពីសង្គ្រាម,,ករណី
